,Sensor_060,Sensor_104,Sensor_511,Sensor_349,Sensor_432,Sensor_435,Sensor_029,Sensor_317,Sensor_126,Sensor_027,Target_FAIL
Sensor_060,1.0,0.2877414334265354,0.21781998686734816,0.14356553654233264,0.09543515070385031,0.09126870519924413,-0.2583950036374011,-0.1897170914355797,-0.14499373564535917,-0.08817324674903827,0.15600765358943652
Sensor_104,0.2877414334265354,1.0,0.6097025344352129,0.15490238884561802,0.16904544229867063,0.15000722260324292,-0.33709354286774984,-0.2128508783590601,-0.21688708855944472,-0.14008493971862318,0.15122982385797662
Sensor_511,0.21781998686734816,0.6097025344352129,1.0,0.08009029530109338,0.1391477636123532,0.12868740852178345,-0.24396789786779188,-0.1624659687475466,-0.14838907738274124,-0.11886566548010241,0.13166206591650093
Sensor_349,0.14356553654233264,0.15490238884561802,0.08009029530109338,1.0,0.057977810148844254,0.051448268704345136,-0.12616027039150243,-0.022946302262219966,-0.04138861361469667,-0.05885630096633089,0.13080675914334955
Sensor_432,0.09543515070385031,0.16904544229867063,0.1391477636123532,0.057977810148844254,1.0,0.9333607589318431,-0.21932001026813425,-0.14088559686448957,-0.12093677867063952,-0.7444351909684576,0.11993649667913944
Sensor_435,0.09126870519924413,0.15000722260324292,0.12868740852178345,0.051448268704345136,0.9333607589318431,1.0,-0.19056045018093015,-0.12110140697129483,-0.0944928666279453,-0.8205113506603152,0.11131162913172642
Sensor_029,-0.2583950036374011,-0.33709354286774984,-0.24396789786779188,-0.12616027039150243,-0.21932001026813425,-0.19056045018093015,1.0,0.22102654917925393,0.17831792438712304,0.1873875839857823,-0.10698738214249284
Sensor_317,-0.1897170914355797,-0.2128508783590601,-0.1624659687475466,-0.022946302262219966,-0.14088559686448957,-0.12110140697129483,0.22102654917925393,1.0,0.07085403591726243,0.10375999898589906,-0.08938489751367676
Sensor_126,-0.14499373564535917,-0.21688708855944472,-0.14838907738274124,-0.04138861361469667,-0.12093677867063952,-0.0944928666279453,0.17831792438712304,0.07085403591726243,1.0,0.10291569837938074,-0.08364438623026359
Sensor_027,-0.08817324674903827,-0.14008493971862318,-0.11886566548010241,-0.05885630096633089,-0.7444351909684576,-0.8205113506603152,0.1873875839857823,0.10375999898589906,0.10291569837938074,1.0,-0.08057858111517865
Target_FAIL,0.15600765358943652,0.15122982385797662,0.13166206591650093,0.13080675914334955,0.11993649667913944,0.11131162913172642,-0.10698738214249284,-0.08938489751367676,-0.08364438623026359,-0.08057858111517865,1.0
