,f_score
Sensor_060,39.03974156306496
Sensor_104,36.630014581246286
Sensor_511,27.607694488373735
Sensor_349,27.243943893846776
Sensor_432,22.840712708257843
Sensor_435,19.634057739611357
Sensor_431,18.857452518791057
Sensor_022,18.585160443601566
Sensor_436,18.55965064330544
Sensor_029,18.12087638880948
Sensor_437,17.824542906927395
Sensor_211,16.895858217510153
Sensor_130,16.714874330007007
Sensor_299,16.346719852812395
Sensor_164,15.650665059369173
Sensor_125,14.00188757974543
Sensor_296,13.17829745275994
Sensor_317,12.604523605883246
Sensor_161,12.56128752968844
Sensor_165,12.015894167106994
Sensor_300,12.015459173140476
Sensor_122,11.412228862226511
Sensor_301,11.141187527092766
Sensor_126,11.026485458614447
Sensor_166,10.986337728828316
Sensor_248,10.916942505009281
Sensor_295,10.382858538820948
Sensor_034,10.327634251580838
Sensor_027,10.227808823558759
Sensor_181,9.736256099070882
Sensor_123,9.660456860680446
Sensor_080,9.511412901864999
Sensor_160,9.403004338275583
Sensor_453,9.355066282278704
Sensor_065,9.254965685732838
Sensor_131,9.235013291500671
Sensor_128,8.883454803606552
Sensor_520,8.618347117425815
Sensor_023,8.534373079952658
Sensor_124,8.225106073429986
Sensor_438,7.566543008011482
Sensor_015,7.479697757035305
Sensor_115,7.41151913569155
Sensor_134,7.224692182508957
Sensor_250,6.946863556926777
Sensor_388,6.912664474078633
Sensor_101,6.653747768571362
Sensor_057,6.490638320055622
Sensor_096,5.849533161865538
Sensor_201,5.7770408751833795
Sensor_461,5.77315744841316
Sensor_064,5.661026069580114
Sensor_472,5.628402605084539
Sensor_558,5.336585592742851
Sensor_555,5.318138572420411
Sensor_552,5.308111457293813
Sensor_478,4.971856154717151
Sensor_456,4.968549227900256
Sensor_198,4.929754620476787
Sensor_077,4.876660488549394
Sensor_184,4.850844470046164
Sensor_366,4.782662469005676
Sensor_512,4.780598103667185
Sensor_127,4.776775394686472
Sensor_059,4.77534127168576
Sensor_469,4.753871688919843
Sensor_066,4.741810832154835
Sensor_206,4.536097748871464
Sensor_338,4.521156866171003
Sensor_197,4.495543710945354
Sensor_041,4.486171145140785
Sensor_091,4.48271846982552
Sensor_320,4.406211731146954
Sensor_576,4.363765762454498
Sensor_470,4.36116732538998
Sensor_039,4.343065244339438
Sensor_200,4.26981251912111
Sensor_033,4.267635554908583
Sensor_069,4.262337293185757
Sensor_071,4.244120380828577
Sensor_574,4.222486231331302
Sensor_167,4.2021483315391785
Sensor_544,4.107732758167673
Sensor_543,4.045216075839402
Sensor_281,3.985856073524546
Sensor_032,3.923757020025507
Sensor_342,3.894305979973787
Sensor_578,3.864747167625578
Sensor_386,3.8390770337887905
Sensor_334,3.7321020831146012
Sensor_551,3.7148763402045812
Sensor_554,3.640824357258693
Sensor_424,3.61720536092944
Sensor_139,3.595572705564987
Sensor_282,3.557786376941173
Sensor_412,3.5501977911879723
Sensor_302,3.51667477179096
Sensor_189,3.49265305392498
Sensor_434,3.4669836347338965
Sensor_583,3.4669050885101433
Sensor_100,3.386433284260466
Sensor_489,3.362851211920447
Sensor_546,3.2906285145201157
Sensor_557,3.2576347854361227
Sensor_350,3.2558444795647334
Sensor_204,3.243428646073028
Sensor_212,3.1199690578322956
Sensor_476,3.0994943183667774
Sensor_214,3.0805100943797172
Sensor_146,3.015316872040002
Sensor_116,2.988006299960737
Sensor_548,2.9872630336059594
Sensor_079,2.978074203814625
Sensor_144,2.961173257486714
Sensor_352,2.9584483307849387
Sensor_147,2.956811894912032
Sensor_182,2.9426196917190457
Sensor_103,2.927160014390028
Sensor_176,2.8865546113247165
Sensor_418,2.840517280348555
Sensor_485,2.7962575572342723
Sensor_417,2.7561746871105792
Sensor_228,2.7371856756220376
Sensor_454,2.7194266020205613
Sensor_447,2.709128487661041
Sensor_038,2.6767492737294747
Sensor_335,2.636004213904483
Sensor_199,2.494788545932816
Sensor_480,2.485218332526804
Sensor_337,2.4691495857791943
Sensor_318,2.46863360880982
Sensor_325,2.4685297580349714
Sensor_068,2.4560960903574993
Sensor_563,2.4525260524033587
Sensor_311,2.4459778821723415
Sensor_067,2.384898268095669
Sensor_105,2.365947994095416
Sensor_361,2.336202897110949
Sensor_570,2.33178881942251
Sensor_471,2.3232340021413265
Sensor_280,2.297149970642063
Sensor_145,2.2965574807044793
Sensor_446,2.2322645790531723
Sensor_031,2.1902208209862533
Sensor_175,2.16642560868207
Sensor_173,2.1642528194137647
Sensor_196,2.1267653279628975
Sensor_444,2.116477782086785
