purchase_month,orders,delivered_orders,orders_with_delivery_date,canceled_orders,unavailable_orders,product_revenue,freight_revenue,gross_revenue,delivered_gross_value,payment_total,late_orders,customers,has_observed_orders,purchase_year,purchase_month_number,purchase_month_label,average_ticket,delivered_average_ticket,revenue_per_customer,delivery_rate,late_order_rate,revenue_growth_mom,orders_growth_mom,orders_ratio_to_median
2016-09,4.0,1.0,1.0,2.0,0.0,267.36,87.39,354.75,143.46,252.24,1.0,4.0,1,2016,9,2016-09,88.6875,143.46,88.6875,25.0,100.0,,,0.0009334889148191366
2016-10,324.0,265.0,270.0,24.0,7.0,49507.66,7301.18,56808.84,46490.66,59090.48,3.0,321.0,1,2016,10,2016-10,175.33592592592592,175.4364528301887,176.97457943925232,81.79012345679013,1.1111111111111112,15913.767441860464,8000.0,0.07561260210035006
2016-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2016,11,2016-11,,,,,,-100.0,-100.0,0.0
2016-12,1.0,1.0,1.0,0.0,0.0,10.9,8.72,19.62,19.62,19.62,0.0,1.0,1,2016,12,2016-12,19.62,19.62,19.62,100.0,0.0,inf,inf,0.00023337222870478414
2017-01,800.0,750.0,750.0,3.0,10.0,120312.87,16875.62,137188.49,127482.37,138488.04,23.0,765.0,1,2017,1,2017-01,171.4856125,169.97649333333334,179.33135947712418,93.75,3.0666666666666664,699127.7777777778,79900.0,0.1866977829638273
2017-02,1780.0,1653.0,1653.0,17.0,45.0,247303.02,38977.6,286280.62,271239.32,291908.01,53.0,1755.0,1,2017,2,2017-02,160.83180898876404,164.08912280701756,163.12286039886038,92.86516853932584,3.2062915910465817,108.67685036842376,122.50000000000001,0.41540256709451573
2017-03,2682.0,2546.0,2546.0,33.0,32.0,374344.3,57704.29,432048.59,414330.95,449863.6,142.0,2642.0,1,2017,3,2017-03,161.09194258016407,162.73800078554595,163.53088190764572,94.92915734526473,5.577376276512176,50.917861642188726,50.67415730337079,0.6259043173862311
2017-04,2404.0,2303.0,2303.0,18.0,9.0,359927.23,52495.01,412422.24,390812.4,417788.03,181.0,2372.0,1,2017,4,2017-04,171.55667221297836,169.6970907511941,173.8710961214165,95.79866888519135,7.859313938341293,-4.542625633843644,-10.36539895600298,0.561026837806301
2017-05,3700.0,3546.0,3545.0,29.0,31.0,506071.14,80119.81,586190.95,566851.4,592918.82,128.0,3625.0,1,2017,5,2017-05,158.42998648648648,159.85657078398197,161.70784827586206,95.83783783783784,3.6107193229901267,42.133690462473595,53.91014975041597,0.8634772462077013
2017-06,3245.0,3135.0,3135.0,16.0,24.0,433038.6,69924.44,502963.04,490050.37,511276.38,121.0,3180.0,1,2017,6,2017-06,154.99631432973806,156.31590749601276,158.16447798742138,96.61016949152543,3.8596491228070176,-14.198088523884579,-12.297297297297295,0.7572928821470245
2017-07,4026.0,3872.0,3872.0,28.0,52.0,498031.48,86940.14,584971.62,566299.08,592382.92,133.0,3947.0,1,2017,7,2017-07,145.2984649776453,146.2549276859504,148.2066430200152,96.17486338797814,3.4349173553719003,16.305090727938975,24.067796610169488,0.9395565927654609
2017-08,4331.0,4193.0,4193.0,27.0,32.0,573971.68,94232.92,668204.6,645832.36,674396.32,139.0,4246.0,1,2017,8,2017-08,154.2841376125606,154.02632005723825,157.37272727272727,96.81366889863773,3.315048891008824,14.2285500961568,7.575757575757569,1.01073512252042
2017-09,4285.0,4150.0,4150.0,20.0,38.0,624401.6900000001,95997.22,720398.91,701077.49,727762.45,216.0,4212.0,1,2017,9,2017-09,168.1210991831972,168.93433493975903,171.03487891737893,96.8494749124854,5.204819277108434,7.811127011098096,-1.062110367120761,1.0
2017-10,4631.0,4478.0,4478.0,26.0,58.0,664219.43,105092.94,769312.37,751117.01,779677.88,237.0,4561.0,1,2017,10,2017-10,166.1222997192831,167.73492853952658,168.6718636263977,96.69617793133233,5.2925413130862,6.7897742932453875,8.074679113185535,1.0807467911318553
2017-11,7544.0,7289.0,7288.0,37.0,84.0,1010271.37,168872.4,1179143.77,1153364.2,1194882.8,1043.0,7430.0,1,2017,11,2017-11,156.30219644750795,158.23352997667718,158.7003728129206,96.61983032873806,14.31119648737651,53.27243080726753,62.90218095443749,1.7605600933488914
2017-12,5673.0,5513.0,5513.0,11.0,42.0,743914.17,119633.06,863547.23,843078.29,878401.48,462.0,5603.0,1,2017,12,2017-12,152.2205587872378,152.92550154181026,154.1222969837587,97.17962277454609,8.380192272809722,-26.764890595147705,-24.801166489925762,1.3239206534422403
2018-01,7269.0,7069.0,7069.0,34.0,48.0,950030.36,157271.53,1107301.89,1077887.46,1115004.18,464.0,7166.0,1,2018,1,2018-01,152.33208006603383,152.48089687367377,154.52161456879708,97.24858990232494,6.563870420144292,28.227137038005434,28.133262823902694,1.6963827304550758
2018-02,6728.0,6555.0,6556.0,73.0,30.0,844178.71,142730.25,986908.96,966168.41,992463.34,1049.0,6569.0,1,2018,2,2018-02,146.6868252080856,147.39411289092297,150.23732074897245,97.42865636147442,16.000610128126908,-10.872638355200493,-7.442564314211031,1.5701283547257876
2018-03,7211.0,7003.0,7003.0,26.0,17.0,983213.4400000001,171913.38,1155126.82,1120598.24,1159652.12,1496.0,7115.0,1,2018,3,2018-03,160.18954652614062,160.01688419248893,162.35092340126494,97.11551795867425,21.362273311437953,17.044921752458308,7.178953626634965,1.6828471411901984
2018-04,6939.0,6798.0,6798.0,15.0,5.0,996647.75,163050.29,1159698.04,1132878.93,1160785.48,361.0,6882.0,1,2018,4,2018-04,167.1275457558726,166.64885701676963,168.51177564661435,97.96800691742325,5.310385407472786,0.3957331715317647,-3.7720149771182876,1.619369894982497
2018-05,6873.0,6749.0,6749.0,24.0,16.0,996517.68,153264.14,1149781.82,1128774.52,1153982.15,556.0,6814.0,1,2018,5,2018-05,167.28965808235125,167.2506326863239,168.73815967126507,98.19583878946602,8.238257519632539,-0.8550691350655337,-0.9511456982274069,1.6039673278879814
2018-06,6167.0,6099.0,6096.0,18.0,4.0,865124.31,157552.8,1022677.11,1011978.29,1023880.5,83.0,6128.0,1,2018,6,2018-06,165.8305675368899,165.9252811936383,166.88595137075717,98.89735689962704,1.3615485564304464,-11.054680791526172,-10.272079150298264,1.4392065344224036
2018-07,6292.0,6159.0,6156.0,41.0,18.0,895507.22,163220.81,1058728.03,1027807.28,1066540.75,276.0,6230.0,1,2018,7,2018-07,168.2657390336936,166.8789219029063,169.9402937399679,97.88620470438653,4.483430799220272,3.525151746087296,2.0269174639208742,1.4683780630105017
2018-08,6512.0,6351.0,6351.0,84.0,7.0,854686.33,148622.14,1003308.47,985491.64,1022425.32,660.0,6460.0,1,2018,8,2018-08,154.070710995086,155.17109746496615,155.31090866873063,97.52764127764128,10.392064241851678,-5.234541679226156,3.4965034965035002,1.5197199533255543
2018-09,16.0,0.0,0.0,15.0,0.0,145.0,21.46,166.46,0.0,4439.54,0.0,14.0,1,2018,9,2018-09,10.40375,,11.89,0.0,,-99.98340889118577,-99.75429975429975,0.0037339556592765463
2018-10,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,589.67,0.0,4.0,1,2018,10,2018-10,0.0,,0.0,0.0,,-100.0,-75.0,0.0009334889148191366
